day_pt,new_members,pct_retained,interval_start_timestamp
2026-01-09T00:00:00+00:00,117,37.60683760683761,2026-01-09T00:00:00+00:00
2026-01-16T00:00:00+00:00,119,40.33613445378151,2026-01-16T00:00:00+00:00
2026-01-23T00:00:00+00:00,88,43.18181818181818,2026-01-23T00:00:00+00:00
2026-01-30T00:00:00+00:00,110,31.818181818181817,2026-01-30T00:00:00+00:00
2026-02-06T00:00:00+00:00,89,25.842696629213485,2026-02-06T00:00:00+00:00
2026-02-13T00:00:00+00:00,84,28.57142857142857,2026-02-13T00:00:00+00:00
2026-02-20T00:00:00+00:00,91,35.16483516483517,2026-02-20T00:00:00+00:00
2026-02-27T00:00:00+00:00,102,36.27450980392157,2026-02-27T00:00:00+00:00
2026-03-06T00:00:00+00:00,77,35.064935064935064,2026-03-06T00:00:00+00:00
2026-03-13T00:00:00+00:00,85,38.82352941176471,2026-03-13T00:00:00+00:00
2026-03-20T00:00:00+00:00,97,31.958762886597935,2026-03-20T00:00:00+00:00
2026-03-27T00:00:00+00:00,84,55.952380952380956,2026-03-27T00:00:00+00:00
2026-04-03T00:00:00+00:00,85,32.94117647058823,2026-04-03T00:00:00+00:00
2026-04-10T00:00:00+00:00,95,31.57894736842105,2026-04-10T00:00:00+00:00
2026-04-17T00:00:00+00:00,83,39.75903614457831,2026-04-17T00:00:00+00:00
2026-04-24T00:00:00+00:00,100,50,2026-04-24T00:00:00+00:00
2026-05-01T00:00:00+00:00,130,34.61538461538461,2026-05-01T00:00:00+00:00
2026-05-08T00:00:00+00:00,105,41.904761904761905,2026-05-08T00:00:00+00:00
