day_pt,new_members,pct_communicated,pct_opened_channels,interval_start_timestamp
2026-01-22T00:00:00+00:00,91,15.384615384615385,64.83516483516483,2026-01-22T00:00:00+00:00
2026-01-29T00:00:00+00:00,112,20.535714285714285,60.71428571428571,2026-01-29T00:00:00+00:00
2026-02-05T00:00:00+00:00,89,14.606741573033707,60.67415730337079,2026-02-05T00:00:00+00:00
2026-02-12T00:00:00+00:00,86,17.441860465116278,65.11627906976744,2026-02-12T00:00:00+00:00
2026-02-19T00:00:00+00:00,88,18.181818181818183,60.22727272727273,2026-02-19T00:00:00+00:00
2026-02-26T00:00:00+00:00,102,22.54901960784314,53.92156862745098,2026-02-26T00:00:00+00:00
2026-03-05T00:00:00+00:00,76,21.052631578947366,56.57894736842105,2026-03-05T00:00:00+00:00
2026-03-12T00:00:00+00:00,85,16.470588235294116,58.82352941176471,2026-03-12T00:00:00+00:00
2026-03-19T00:00:00+00:00,101,14.85148514851485,56.43564356435643,2026-03-19T00:00:00+00:00
2026-03-26T00:00:00+00:00,80,16.25,62.5,2026-03-26T00:00:00+00:00
2026-04-02T00:00:00+00:00,90,24.444444444444443,52.22222222222223,2026-04-02T00:00:00+00:00
2026-04-09T00:00:00+00:00,95,16.842105263157894,51.578947368421055,2026-04-09T00:00:00+00:00
2026-04-16T00:00:00+00:00,79,21.518987341772153,68.35443037974683,2026-04-16T00:00:00+00:00
2026-04-23T00:00:00+00:00,104,13.461538461538462,60.57692307692307,2026-04-23T00:00:00+00:00
2026-04-30T00:00:00+00:00,127,14.960629921259844,50.39370078740157,2026-04-30T00:00:00+00:00
2026-05-07T00:00:00+00:00,110,22.727272727272727,57.27272727272727,2026-05-07T00:00:00+00:00
2026-05-14T00:00:00+00:00,94,17.02127659574468,59.57446808510638,2026-05-14T00:00:00+00:00
2026-05-21T00:00:00+00:00,102,22.54901960784314,61.76470588235294,2026-05-21T00:00:00+00:00
